! Anritsu VNA Master:             ,Model: MS2038C/11/15,,
! SN:             ,1223098,,
! /bd0/short.csv,,,
! Existing Calibration Information:,,,
! TYPE:             ,Current Settings,Active Cal Settings,
! TIME:             ,04/24/2024 10:38:53 AM,04/24/2024 10:22:44 AM,
! INTERNAL TEMP:    ,48.8 C,42.8 C,
! # POINTS:         ,196,196,
! START FREQ:       ,10.000 MHz,10.000 MHz,
! STOP FREQ:        ,2.000 GHz,2.000 GHz,
! SOURCE POWER:     ,High,High,
! IFBW:             ,1 kHz,1 kHz,
! AVG FACTOR:       ,1,1,
! REF PLANE 1:      ,0 mm,0 mm,
! REF PLANE 2:      ,0 mm,0 mm,
! CAL TYPE:         ,Full S11,Full S11,
! CAL METHOD:       ,SOLT,SOLT,
! CAL LINE TYPE:    ,Coax,Coax,
! DUT PORT 1:       ,K-Conn(M),K-Conn(M),
! DUT PORT 2:       ,K-Conn(M),K-Conn(M),
! CAL STATUS:       ,?T: Accuracy moderate (|Temp diff| > 5.0 C),--,
! PROP-V:       ,1,,
! CABLE LOSS:       ,0.000 dB/m,,
! REF IMPEDANCE:       ,50,,
! Trace Specific Parameters:,TR1,,
! TRACE.#.Y (GRAPH TYPE),POLAR.LINEAR.PHASE,,
! TRACE.#.X ,FREQ.GHZ,,
! S-PARAMETER,S11,,
! SMOOTH/APERTURE %,0,,
! WINDOW,NSL,,
! GATING,OFF,,
! FGTD,OFF,,
Marker Information per Trace:,TR1,,
97,0.98969233,6.79E-01,1.65E+01
98,0.99989742,6.23E-01,2.00E+01
99,1.01010263,6.84E-01,1.77E+01
100,1.02030766,6.74E-01,1.09E+01
101,1.03051281,6.33E-01,8.47E+00
102,1.040717959,6.47E-01,1.01E+01
103,1.050923109,7.12E-01,5.44E+00
104,1.061128139,7.18E-01,-3.87E+00
105,1.071333289,6.38E-01,-1.06E+01
106,1.081538439,6.06E-01,-7.07E+00
107,1.091743588,6.60E-01,-9.88E+00
108,1.101948738,6.60E-01,-1.79E+01
109,1.112153769,5.82E-01,-2.29E+01
110,1.122358918,5.60E-01,-1.70E+01
111,1.132564068,6.35E-01,-1.88E+01
112,1.142769217,6.55E-01,-2.66E+01
113,1.152974367,6.07E-01,-3.13E+01
114,1.163179517,6.08E-01,-2.93E+01
115,1.173384547,6.61E-01,-3.33E+01
116,1.183589697,6.66E-01,-4.06E+01
117,1.193794847,6.28E-01,-4.40E+01
118,1.203999996,6.50E-01,-4.39E+01
119,1.214205146,6.94E-01,-5.03E+01
120,1.224410295,6.78E-01,-5.81E+01
121,1.234615445,6.32E-01,-6.10E+01
122,1.244820595,6.60E-01,-6.19E+01
123,1.255025625,6.84E-01,-6.90E+01
124,1.265230775,6.50E-01,-7.60E+01
125,1.275435925,6.19E-01,-7.75E+01
126,1.285641074,6.45E-01,-8.08E+01
127,1.295846224,6.39E-01,-8.79E+01
128,1.306051373,5.97E-01,-9.16E+01
129,1.316256404,6.02E-01,-9.39E+01
130,1.326461434,5.91E-01,-9.98E+01
131,1.336666584,5.58E-01,-1.02E+02
132,1.346871734,5.64E-01,-1.04E+02
133,1.357076883,5.64E-01,-1.08E+02
134,1.367282033,5.45E-01,-1.11E+02
135,1.377487183,5.52E-01,-1.11E+02
136,1.387692332,5.91E-01,-1.16E+02
137,1.397897482,5.88E-01,-1.23E+02
138,1.408102512,5.53E-01,-1.26E+02
139,1.418307662,5.72E-01,-1.27E+02
140,1.428512812,6.04E-01,-1.33E+02
141,1.438717961,5.88E-01,-1.41E+02
142,1.448923111,5.51E-01,-1.44E+02
143,1.459128261,5.63E-01,-1.45E+02
144,1.46933341,5.88E-01,-1.51E+02
145,1.47953856,5.78E-01,-1.58E+02
146,1.48974359,5.54E-01,-1.61E+02
147,1.49994874,5.56E-01,-1.64E+02
148,1.51015377,5.61E-01,-1.70E+02
149,1.52035892,5.37E-01,-1.75E+02
150,1.53056407,5.17E-01,-1.76E+02
151,1.540769219,5.36E-01,-1.78E+02
152,1.550974369,5.47E-01,1.76E+02
153,1.561179519,5.32E-01,1.71E+02
154,1.571384549,5.21E-01,1.69E+02
155,1.581589699,5.30E-01,1.66E+02
156,1.591794848,5.31E-01,1.62E+02
157,1.601999998,5.19E-01,1.58E+02
158,1.612205148,5.25E-01,1.57E+02
159,1.622410297,5.46E-01,1.54E+02
160,1.632615447,5.72E-01,1.50E+02
161,1.642820597,5.86E-01,1.43E+02
162,1.653025627,5.77E-01,1.38E+02
163,1.663230777,5.67E-01,1.34E+02
164,1.673435926,5.74E-01,1.30E+02
165,1.683641076,5.72E-01,1.25E+02
166,1.693846226,5.59E-01,1.22E+02
167,1.704051375,5.61E-01,1.19E+02
168,1.714256406,5.76E-01,1.15E+02
169,1.724461436,5.67E-01,1.10E+02
170,1.734666586,5.55E-01,1.07E+02
171,1.744871736,5.64E-01,1.06E+02
172,1.755076885,5.82E-01,1.01E+02
173,1.765282035,5.79E-01,9.59E+01
174,1.775487185,5.61E-01,9.29E+01
175,1.785692334,5.66E-01,9.16E+01
176,1.795897484,5.87E-01,8.81E+01
177,1.806102514,5.88E-01,8.31E+01
178,1.816307664,5.80E-01,7.99E+01
179,1.826512814,5.85E-01,7.74E+01
180,1.836717963,5.94E-01,7.38E+01
181,1.846923113,5.91E-01,7.02E+01
182,1.857128263,5.93E-01,6.80E+01
183,1.867333412,6.13E-01,6.50E+01
184,1.877538562,6.27E-01,6.03E+01
185,1.887743592,6.22E-01,5.57E+01
186,1.897948742,6.18E-01,5.29E+01
187,1.908153892,6.32E-01,4.97E+01
188,1.918358922,6.40E-01,4.47E+01
189,1.928564072,6.24E-01,4.00E+01
190,1.938769221,6.08E-01,3.76E+01
191,1.948974371,6.15E-01,3.55E+01
192,1.959179401,6.22E-01,3.15E+01
193,1.969384551,6.10E-01,2.76E+01
194,1.979589701,6.01E-01,2.58E+01
195,1.98979485,6.15E-01,2.38E+01
196,2,6.27E-01,1.96E+01
